일자,공매도 수량_거래량_전체,공매도 수량_거래량_업틱룰적용,공매도 수량_거래량_업틱룰예외,공매도 수량_순보유잔고수량,공매도 금액_거래대금_전체,공매도 금액_거래대금_업틱룰적용,공매도 금액_거래대금_업틱룰예외,공매도 금액_순보유잔고금액
"2026/01/08","14517","10754","3763","0","1589165300","1176458600","412706700","0"
"2026/01/07","170316","145172","25144","0","18631197850","15742702650","2888495200","0"
"2026/01/06","49748","48113","1635","129302","5637857850","5452054350","185803500","14662846800"
"2026/01/05","133871","91703","42168","114917","15888401900","10723496700","5164905200","13433797300"
"2026/01/02","73810","33206","40604","115463","8917335850","4005576200","4911759650","14028754500"
"2025/12/30","59110","40394","18716","110013","7091354700","4835598700","2255756000","13113549600"
"2025/12/29","157080","136735","20345","87548","19473540900","16963930350","2509610550","10899726000"
"2025/12/26","24457","18247","6210","76585","2950573250","2200844650","749728600","9190200000"
"2025/12/24","10192","5882","4310","146033","1218291100","703445500","514845600","17392530300"
"2025/12/23","58337","51557","6780","146389","7078513250","6257499750","821013500","17742346800"
"2025/12/22","70382","68188","2194","126759","8694903850","8424494250","270409600","15540653400"
"2025/12/19","58384","58237","147","101871","7106859900","7089067300","17792600","12367139400"
"2025/12/18","28825","28748","77","83874","3526449350","3517051050","9398300","10190691000"
"2025/12/17","90407","90237","170","91862","11357852250","11336428650","21423600","11574612000"
"2025/12/16","120828","119615","1213","309465","15076597900","14925434600","151163300","38342713500"
"2025/12/15","197210","195346","1864","346011","25605800700","25362748100","243052600","45258238800"
"2025/12/12","189038","148010","41028","348284","26184797950","20554913600","5629884350","47053168400"
"2025/12/11","281067","118359","162708","181413","41882924350","17703649250","24179275100","26885406600"
"2025/12/10","22471","12388","10083","181413","3295804200","1818627850","1477176350","26830982700"
"2025/12/09","24301","22049","2252","189234","3474762950","3159381450","315381500","27325389600"
"2025/12/08","16003","4420","11583","189234","2243917700","613334000","1630583700","26814457800"